model,weight_vector,K,true_churns_in_top_k,precision
CBOW,average,50,40,0.8
CBOW,average,100,72,0.72
CBOW,average,150,102,0.68
CBOW,average,200,138,0.69
CBOW,weighted_base,50,30,0.6
CBOW,weighted_base,100,61,0.61
CBOW,weighted_base,150,91,0.6066666666666667
CBOW,weighted_base,200,113,0.565
CBOW,weighted_demographic,50,12,0.24
CBOW,weighted_demographic,100,32,0.32
CBOW,weighted_demographic,150,46,0.30666666666666664
CBOW,weighted_demographic,200,61,0.305
CBOW,weighted_financial,50,5,0.1
CBOW,weighted_financial,100,18,0.18
CBOW,weighted_financial,150,26,0.17333333333333334
CBOW,weighted_financial,200,30,0.15
SGNS,average,50,33,0.66
SGNS,average,100,59,0.59
SGNS,average,150,85,0.5666666666666667
SGNS,average,200,109,0.545
SGNS,weighted_base,50,34,0.68
SGNS,weighted_base,100,59,0.59
SGNS,weighted_base,150,88,0.5866666666666667
SGNS,weighted_base,200,109,0.545
SGNS,weighted_demographic,50,12,0.24
SGNS,weighted_demographic,100,32,0.32
SGNS,weighted_demographic,150,46,0.30666666666666664
SGNS,weighted_demographic,200,61,0.305
SGNS,weighted_financial,50,10,0.2
SGNS,weighted_financial,100,22,0.22
SGNS,weighted_financial,150,39,0.26
SGNS,weighted_financial,200,50,0.25
